
	SOrg.	Delivery	Item	Material	Item Description	 Dlv.Qty	SU	Batch	OPS	PickingSts	WM	GM	Route	Sp.Stck No	Sold-to	Name of Sold-to Party	Pur. Doc.	TrpPlanDt

	3000	328224786	  10	2403892	Adaptador PM 2-PG / POA 66	      1	PC					A	ZMX998		24509867	MULTIMADERAS MEXICANAS	574259439	18.12.2024
	3000	328224800	  10	370598	Tapa de carril MQZ-E21	     50	PC					A	ZMX998		29964194	MCDQRO	574426858	10.01.2025
	3000	328224974	  10	370598	Tapa de carril MQZ-E21	     50	PC					A	ZMX998		15418898	ASESORIA CONSTRUCCION INSTALACION Y	574547379	09.01.2025
	3000	328224983	  10	2122712	Martillo perforador TE 3-ML 120V maletín	      1	PC					A	ZMX998		15407122	FERRETERA RIO PISUEÑA	574558348	09.01.2025
	3000	328225773	  10	370598	Tapa de carril MQZ-E21	     50	PC					A	ZMX998		31292038	TEKONEK	574433069	10.01.2025
	3000	328226406	  10	409191	Broca para taladro TE-CX 10/37	     10	PC					A	ZMX998		15408315	ELEVADORES OTIS	574391266	10.01.2025
	3000	328226406	  20	2151629	Broca para taladro TE-CX 12/37	     10	PC					A	ZMX998		15408315	ELEVADORES OTIS	574391266	10.01.2025
	3000	328227150	  10	2210795	DX cartucho 6.8/11 M10 amar.	  1.000	PC					A	ZMXA01		15406657	UNIVERSIDAD NACIONAL AUTONOMA	574485581	06.01.2025
	3000	328264087	  10	2101533	Sellador cortafuego FS-ONE MAX 5GAL PAIL	      2	PC					A	ZMX998		27334745	GS DISTRIBUCIONES E INSTALACIONES	574568032	15.01.2025
	3000	328318119	  10	2184554	Tuerca hexagonal M12 Zn DIN 934 8	     50	PC					A	ZMX998		15408406	PROYECTOS EQUIPOS Y MONTAJES	574526867	27.01.2025
	8300	328334628	  10	203517	Espuma anti-fogo CP 660 INT	      6	PC					A	ZBR888		26246837	BALL BEVERAGE CAN SOUTH AMERICA	574579704	16.01.2025
	3000	328340302	  10	412689	DX cartucho 6.8/11 M10 STD pardo	    100	PC					A	ZMXA02		29412333	ICA FLUOR DANIEL	574580123	17.01.2025
	8300	328344646	  10	2314168	Disco de corte 350/25mm SPX metal	      1	PC					A	ZBR888		20027917	PEDRO IVO MARQUES DE ARAUJO	574481066	27.12.2024
	8300	328344646	  20	2150733	Disco de corte AC-D SPX 180x1.5	      1	PAC					A	ZBR888		20027917	PEDRO IVO MARQUES DE ARAUJO	574481066	27.12.2024
	8300	328358062	  10	2238438	Pressure plate INKO-M PP-M14-20 SS	    170	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798317	13.01.2025
	8300	328358062	  20	2264471	Peça de base INKO-M BM-M6-ME6-13-3.2 SS	     30	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798317	13.01.2025
	8300	328358073	  10	2320400	Peça de base INKO-M BO 6-13 5.2 SS	     16	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798590	20.01.2025
	8300	328358081	  10	2320400	Peça de base INKO-M BO 6-13 5.2 SS	     10	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798591	20.01.2025
	8300	328358081	  20	2238437	Ch.seguran INKO-M LP-M14-20 SS	     80	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798591	20.01.2025
	3000	328374303	  10	2253081	Martillo perfor. a batería TE 6-22 caja	      1	PC					A	ZMX998		15417725	WEG MEXICO	574520046	29.01.2025
	3000	328374304	  10	2141906	Placa-tuerca MQA-S-M8	    200	PC					A	ZMX998		27497884	SECURITY CONTROL AND DESIGNS	574524332	29.01.2025
	8300	328405780	  10	2123404	Químico injeção HIT-RE 500 V3/500/1	     10	PC					A	ZBR888		16897061	YARA BRASIL FERTILIZANTES S A	574590764	29.01.2025
	8300	328405780	  20	2164508	Ampola química HVU2 M16x125	      2	PAC					A	ZBR888		16897061	YARA BRASIL FERTILIZANTES S A	574590764	29.01.2025
	8300	328405780	  30	2005641	Dispensador HDM 500 caixa	      1	PC					A	ZBR888		16897061	YARA BRASIL FERTILIZANTES S A	574590764	29.01.2025
	8300	328405780	  40	2007057	Porta-cartucho HIT-CB 500	      1	PC					A	ZBR888		16897061	YARA BRASIL FERTILIZANTES S A	574590764	29.01.2025
	8300	328426446	  10	2281190	Pintura ablativa CP 670 17,5kg	      2	PC					A	ZBR888		21427802	WEG EQUIPAMENTOS ELETRICOS S A	5797750	29.01.2025
	8300	328440847	  10	2252424	Pressure plate OS INKO-M PP 6-13 SS	  1.500	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798317	17.03.2025
	3000	328510869	  10	2261696	Broca B 172/430 P-U abras	      1	PC					A	ZMX998		28669497	HEAD 12X	574502359	27.02.2025
	3000	328510870	  10	337111	Mezclador HIT-RE-M	      5	PC					A	ZMX998		23983473	GRUPO CISAGB	574442280	27.02.2025
	3000	328510871	  10	2197993	Varilla anclaje HAS-E-55 1/2"x10"	     90	PC					A	ZMX998		15413050	SCHAEFER SISTEMAS INTERNATIONAL	574424288	27.02.2025
	3000	328510872	  10	435006	Broca para taladro TE-CX 3/8"-6"	      3	PC					A	ZMX998		15411901	HERRAMIENTAS MECANICAS UNIVERSALES	574472509	27.02.2025
	3000	328510873	  10	2341100	Broca para taladro TE-CX 5/8"-12"	      3	PC					A	ZMX998		21419270	COMSA INFRAESTRUCTURAS	574516049	27.02.2025
	3000	328510874	  10	423473	Anclaje tornillo KH-EZ 1/4"x1 7/8"	  1.000	PC					A	ZMX998		23021795	ESPACIO CONSTRUCTOR DOKAK	574384920	27.02.2025
	3000	328510875	  10	2076288	Broca C+ 9/16"/6" SPX-T	      1	PC					A	ZMX998		26459861	KLINAI	574383048	27.02.2025
